Gene name	Human gene stable ID	Human gene name	Query protein or transcript ID	Human homology type	Human orthology confidence [0 low, 1 high]
IMMT	ENSG00000132305	IMMT	ENSTGUP00000035475	ortholog_one2one	1
					
					
					
					
					
					
					
					
AMFR	ENSG00000159461	AMFR	ENSTGUP00000006838	ortholog_one2one	1
					
					
ATP2B1	ENSG00000070961	ATP2B1	ENSTGUP00000024614	ortholog_one2one	1
TAFA4	ENSG00000163377	TAFA4	ENSTGUP00000023462	ortholog_one2one	1
					
					
					
YTHDF1	ENSG00000149658	YTHDF1	ENSTGUP00000035343	ortholog_one2one	1
CSPG4	ENSG00000173546	CSPG4	ENSTGUP00000003823	ortholog_one2one	1
					
	ENSG00000178093	TSSK6	ENSTGUP00000011047	ortholog_one2many	0
					
CSTF1	ENSG00000101138	CSTF1	ENSTGUP00000027029	ortholog_one2one	1
					
TRAPPC12	ENSG00000171853	TRAPPC12	ENSTGUP00000013362	ortholog_one2one	1
RAPGEF5	ENSG00000136237	RAPGEF5	ENSTGUP00000033009	ortholog_one2one	1
					
PIP5K1C	ENSG00000186111	PIP5K1C	ENSTGUP00000026988	ortholog_one2one	1
	ENSG00000136487	GH2	ENSTGUP00000003400	ortholog_many2many	1
	ENSG00000259384	GH1	ENSTGUP00000003400	ortholog_many2many	1
	ENSG00000136488	CSH1	ENSTGUP00000003400	ortholog_many2many	1
	ENSG00000213218	CSH2	ENSTGUP00000003400	ortholog_many2many	1
	ENSG00000204414	CSHL1	ENSTGUP00000003400	ortholog_many2many	1
UBAP1	ENSG00000165006	UBAP1	ENSTGUP00000001761	ortholog_one2one	1
TEX9	ENSG00000151575	TEX9	ENSTGUP00000006520	ortholog_one2one	1
					
PCDH1	ENSG00000156453	PCDH1	ENSTGUP00000034956	ortholog_one2one	1
					
					
MELTF	ENSG00000163975	MELTF	ENSTGUP00000009148	ortholog_one2one	1
NFKB1	ENSG00000109320	NFKB1	ENSTGUP00000031335	ortholog_one2one	1
	ENSG00000104524	PYCR3	ENSTGUP00000019781	ortholog_one2many	0
MAPK10	ENSG00000109339	MAPK10	ENSTGUP00000018345	ortholog_one2one	1
	ENSG00000136378	ADAMTS7	ENSTGUP00000018673	ortholog_one2many	0
ZNF503	ENSG00000165655	ZNF503	ENSTGUP00000006739	ortholog_one2one	1
	ENSG00000168229	PTGDR	ENSTGUP00000013508	ortholog_one2many	1
SNX33	ENSG00000173548	SNX33	ENSTGUP00000003827	ortholog_one2one	1
STAT4	ENSG00000138378	STAT4	ENSTGUP00000033907	ortholog_one2one	1
					
					
					
					
MFAP3	ENSG00000037749	MFAP3	ENSTGUP00000035844	ortholog_one2one	1
					
tgu-mir-124-3	ENSG00000207598	MIR124-3	ENSTGUT00000018256	ortholog_one2one	1
OAF	ENSG00000184232	OAF	ENSTGUP00000000416	ortholog_one2one	1
TAFA1	ENSG00000183662	TAFA1	ENSTGUP00000009975	ortholog_one2one	1
					
PHACTR4	ENSG00000204138	PHACTR4	ENSTGUP00000000965	ortholog_one2one	1
					
MTCL2	ENSG00000149639	MTCL2	ENSTGUP00000004446	ortholog_one2one	1
SNUPN	ENSG00000169371	SNUPN	ENSTGUP00000003840	ortholog_one2one	1
					
					
					
RFX7	ENSG00000181827	RFX7	ENSTGUP00000028743	ortholog_one2one	1
					
BHLHE23	ENSG00000125533	BHLHE23	ENSTGUP00000038483	ortholog_one2one	1
CDCA8	ENSG00000134690	CDCA8	ENSTGUP00000001577	ortholog_one2one	1
	ENSG00000087303	NID2	ENSTGUP00000013518	ortholog_one2many	1
					
	ENSG00000238083	LRRC37A2	ENSTGUP00000024688	ortholog_many2many	0
	ENSG00000185158	LRRC37B	ENSTGUP00000024688	ortholog_many2many	0
	ENSG00000176681	LRRC37A	ENSTGUP00000024688	ortholog_many2many	0
	ENSG00000176809	LRRC37A3	ENSTGUP00000024688	ortholog_many2many	0
CCT4	ENSG00000115484	CCT4	ENSTGUP00000006682	ortholog_one2one	1
NUDT21	ENSG00000167005	NUDT21	ENSTGUP00000006812	ortholog_one2one	1
					
TRPM6	ENSG00000119121	TRPM6	ENSTGUP00000000800	ortholog_one2one	1
					
					
G6PC3	ENSG00000141349	G6PC3	ENSTGUP00000020737	ortholog_one2one	1
LMOD1	ENSG00000163431	LMOD1	ENSTGUP00000029548	ortholog_one2one	1
	ENSG00000124486	USP9X	ENSTGUP00000027618	ortholog_one2many	1
	ENSG00000114374	USP9Y	ENSTGUP00000027618	ortholog_one2many	1
					
					
AURKA	ENSG00000087586	AURKA	ENSTGUP00000008714	ortholog_one2one	1
					
EIPR1	ENSG00000032389	EIPR1	ENSTGUP00000038269	ortholog_one2one	1
					
EPYC	ENSG00000083782	EPYC	ENSTGUP00000008417	ortholog_one2one	1
TRIM29	ENSG00000137699	TRIM29	ENSTGUP00000000412	ortholog_one2one	1
KIF24	ENSG00000186638	KIF24	ENSTGUP00000001762	ortholog_one2one	1
SLC17A9	ENSG00000101194	SLC17A9	ENSTGUP00000007807	ortholog_one2one	1
					
					
LRRN4	ENSG00000125872	LRRN4	ENSTGUP00000006646	ortholog_one2one	1
GALNT10	ENSG00000164574	GALNT10	ENSTGUP00000019933	ortholog_one2one	1
WNT2B	ENSG00000134245	WNT2B	ENSTGUP00000017826	ortholog_one2one	1
SLC39A8	ENSG00000138821	SLC39A8	ENSTGUP00000003692	ortholog_one2one	1
					
PTCD3	ENSG00000132300	PTCD3	ENSTGUP00000028364	ortholog_one2one	1
GFUS	ENSG00000104522	GFUS	ENSTGUP00000013153	ortholog_one2one	1
					
					
SPEF2	ENSG00000152582	SPEF2	ENSTGUP00000002047	ortholog_one2one	1
	ENSG00000101680	LAMA1	ENSTGUP00000033642	ortholog_one2one	0
C9orf78	ENSG00000136819	C9orf78	ENSTGUP00000004626	ortholog_one2one	1
					
					
COMTD1	ENSG00000165644	COMTD1	ENSTGUP00000035744	ortholog_one2one	1
STAT1	ENSG00000115415	STAT1	ENSTGUP00000011136	ortholog_one2one	1
SUCLG2	ENSG00000172340	SUCLG2	ENSTGUP00000009964	ortholog_one2one	1
LSM12	ENSG00000161654	LSM12	ENSTGUP00000022966	ortholog_one2one	1
C23H1orf109	ENSG00000116922	AIRIM	ENSTGUP00000001580	ortholog_one2one	1
					
	ENSG00000112763	BTN2A1	ENSTGUP00000022247	ortholog_many2many	0
					
AP3S1	ENSG00000177879	AP3S1	ENSTGUP00000017822	ortholog_one2one	1
KERA	ENSG00000139330	KERA	ENSTGUP00000008421	ortholog_one2one	1
SHISA4	ENSG00000198892	SHISA4	ENSTGUP00000022077	ortholog_one2one	1
FAM210B	ENSG00000124098	FAM210B	ENSTGUP00000026733	ortholog_one2one	1
PTPN9	ENSG00000169410	PTPN9	ENSTGUP00000022771	ortholog_one2one	1
MTA1	ENSG00000182979	MTA1	ENSTGUP00000028049	ortholog_one2one	1
DLG1	ENSG00000075711	DLG1	ENSTGUP00000035160	ortholog_one2one	1
					
PTPN13	ENSG00000163629	PTPN13	ENSTGUP00000002826	ortholog_one2one	1
LUM	ENSG00000139329	LUM	ENSTGUP00000008423	ortholog_one2one	1
NECTIN1	ENSG00000110400	NECTIN1	ENSTGUP00000037931	ortholog_one2one	1
CTTNBP2NL	ENSG00000143079	CTTNBP2NL	ENSTGUP00000025645	ortholog_one2one	1
MC3R	ENSG00000124089	MC3R	ENSTGUP00000008719	ortholog_one2one	1
					
					
CAVIN1	ENSG00000177469	CAVIN1	ENSTGUP00000026079	ortholog_one2one	1
GID8	ENSG00000101193	GID8	ENSTGUP00000030414	ortholog_one2one	1
NFKB2	ENSG00000077150	NFKB2	ENSTGUP00000023540	ortholog_one2one	1
PEX11B	ENSG00000131779	PEX11B	ENSTGUP00000004553	ortholog_one2one	1
BANK1	ENSG00000153064	BANK1	ENSTGUP00000003681	ortholog_one2one	1
	ENSG00000169436	COL22A1	ENSTGUP00000022441	ortholog_one2many	0
					
TALDO1	ENSG00000177156	TALDO1	ENSTGUP00000008067	ortholog_one2one	1
	ENSG00000197375	SLC22A5	ENSTGUP00000027909	ortholog_many2many	1
	ENSG00000197208	SLC22A4	ENSTGUP00000027909	ortholog_many2many	1
FERMT1	ENSG00000101311	FERMT1	ENSTGUP00000006643	ortholog_one2one	1
OGFOD1	ENSG00000087263	OGFOD1	ENSTGUP00000006773	ortholog_one2one	1
IL6	ENSG00000136244	IL6	ENSTGUP00000002805	ortholog_one2one	1
RTRAF	ENSG00000087302	RTRAF	ENSTGUP00000013523	ortholog_one2many	1
					
					
NEDD4	ENSG00000069869	NEDD4	ENSTGUP00000037172	ortholog_one2one	1
TMEM101	ENSG00000091947	TMEM101	ENSTGUP00000030761	ortholog_one2one	1
BCL2L13	ENSG00000099968	BCL2L13	ENSTGUP00000025246	ortholog_one2one	1
LIX1L	ENSG00000271601	LIX1L	ENSTGUP00000004565	ortholog_one2one	1
					
					
					
NHERF4	ENSG00000172367	NHERF4	ENSTGUP00000000380	ortholog_one2one	1
					
					
	ENSG00000196683	TOMM7	ENSTGUP00000020266	ortholog_one2one	0
GLS	ENSG00000115419	GLS	ENSTGUP00000011166	ortholog_one2one	1
					
KCND3	ENSG00000171385	KCND3	ENSTGUP00000014058	ortholog_one2one	1
					
VDAC2	ENSG00000165637	VDAC2	ENSTGUP00000035221	ortholog_one2one	1
EPS8L3	ENSG00000198758	EPS8L3	ENSTGUP00000037542	ortholog_one2one	1
					
DCN	ENSG00000011465	DCN	ENSTGUP00000008448	ortholog_one2one	1
					
DIDO1	ENSG00000101191	DIDO1	ENSTGUP00000007829	ortholog_one2one	1
PTPRT	ENSG00000196090	PTPRT	ENSTGUP00000031294	ortholog_one2one	1
					
TJP3	ENSG00000105289	TJP3	ENSTGUP00000024586	ortholog_one2one	1
	ENSG00000221740	SNORD93	ENSTGUT00000018709	ortholog_one2one	0
					
					
RBM8A	ENSG00000265241	RBM8A	ENSTGUP00000004588	ortholog_one2one	1
					
					
					
NUDT2	ENSG00000164978	NUDT2	ENSTGUP00000018630	ortholog_one2one	1
	ENSG00000178921	PFAS	ENSTGUP00000033671	ortholog_one2many	0
ATP6V1E1	ENSG00000250565	ATP6V1E2	ENSTGUP00000022829	ortholog_one2many	1
ATP6V1E1	ENSG00000131100	ATP6V1E1	ENSTGUP00000022829	ortholog_one2many	1
					
RCC1	ENSG00000180198	RCC1	ENSTGUP00000000963	ortholog_one2one	1
					
					
					
					
					
PYY	ENSG00000131096	PYY	ENSTGUP00000023255	ortholog_one2one	1
BBS2	ENSG00000125124	BBS2	ENSTGUP00000006758	ortholog_one2one	1
					
SIN3A	ENSG00000169375	SIN3A	ENSTGUP00000003881	ortholog_one2one	1
AFF1	ENSG00000172493	AFF1	ENSTGUP00000002818	ortholog_one2one	1
CBLN4	ENSG00000054803	CBLN4	ENSTGUP00000035377	ortholog_one2one	1
	ENSG00000164976	MYORG	ENSTGUP00000017304	ortholog_one2many	0
					
					
INAVA	ENSG00000163362	INAVA	ENSTGUP00000021685	ortholog_one2one	1
FNBP1	ENSG00000187239	FNBP1	ENSTGUP00000036096	ortholog_one2one	1
					
	ENSG00000188779	SKOR1	ENSTGUP00000019638	ortholog_one2many	1
STAT3	ENSG00000168610	STAT3	ENSTGUP00000002670	ortholog_one2one	1
					
					
EIF4G2	ENSG00000110321	EIF4G2	ENSTGUP00000031194	ortholog_one2one	1
ARHGAP28	ENSG00000088756	ARHGAP28	ENSTGUP00000010285	ortholog_one2one	1
					
TCFL5	ENSG00000101190	TCFL5	ENSTGUP00000019249	ortholog_one2one	1
ATG12	ENSG00000145782	ATG12	ENSTGUP00000021389	ortholog_one2one	1
					
					
					
THY1	ENSG00000154096	THY1	ENSTGUP00000000410	ortholog_one2one	1
					
DOK5	ENSG00000101134	DOK5	ENSTGUP00000033462	ortholog_one2one	1
TMEM167B	ENSG00000215717	TMEM167B	ENSTGUP00000037409	ortholog_one2one	1
					
					
	ENSG00000139926	FRMD6	ENSTGUP00000037495	ortholog_one2many	1
					
	ENSG00000064703	DDX20	ENSTGUP00000021736	ortholog_one2many	1
SAMD8	ENSG00000156671	SAMD8	ENSTGUP00000032548	ortholog_one2one	1
	ENSG00000115255	REEP6	ENSTGUP00000033937	ortholog_one2one	0
FBXO3	ENSG00000110429	FBXO3	ENSTGUP00000005785	ortholog_one2one	1
	ENSG00000147813	NAPRT	ENSTGUP00000013133	ortholog_one2many	0
SNORD94	ENSG00000208772	SNORD94	ENSTGUT00000042113	ortholog_one2one	1
HYCC1	ENSG00000122591	HYCC1	ENSTGUP00000002816	ortholog_one2one	1
					
	ENSG00000112659	CUL9	ENSTGUP00000004853	ortholog_many2many	0
	ENSG00000044090	CUL7	ENSTGUP00000004853	ortholog_many2many	1
					
					
					
CDK5RAP1	ENSG00000101391	CDK5RAP1	ENSTGUP00000038003	ortholog_one2one	1
					
					
MPP2	ENSG00000108852	MPP2	ENSTGUP00000029143	ortholog_one2one	1
					
	ENSG00000173898	SPTBN2	ENSTGUP00000035857	ortholog_one2many	1
					
					
RSPO1	ENSG00000169218	RSPO1	ENSTGUP00000001588	ortholog_one2one	1
CRIPT	ENSG00000119878	CRIPT	ENSTGUP00000033517	ortholog_one2one	1
					
CDO1	ENSG00000129596	CDO1	ENSTGUP00000020161	ortholog_one2one	1
					
USP2	ENSG00000036672	USP2	ENSTGUP00000000403	ortholog_one2one	1
					
					
					
DUSP13A	ENSG00000293543	DUSP13A	ENSTGUP00000019405	ortholog_one2one	1
					
					
					
TMED7	ENSG00000134970	TMED7	ENSTGUP00000036501	ortholog_one2one	1
	ENSG00000197852	INKA2	ENSTGUP00000026648	ortholog_one2many	1
	ENSG00000164976	MYORG	ENSTGUP00000020760	ortholog_one2many	1
COL9A3	ENSG00000092758	COL9A3	ENSTGUP00000007889	ortholog_one2one	1
					
TMEM200C	ENSG00000206432	TMEM200C	ENSTGUP00000032794	ortholog_one2one	1
TIGD5	ENSG00000179886	TIGD5	ENSTGUP00000013149	ortholog_one2one	1
					
GNL2	ENSG00000134697	GNL2	ENSTGUP00000001602	ortholog_one2one	1
PCSK4	ENSG00000115257	PCSK4	ENSTGUP00000000874	ortholog_one2one	1
IRF1	ENSG00000125347	IRF1	ENSTGUP00000001418	ortholog_one2one	1
BTG1	ENSG00000133639	BTG1	ENSTGUP00000035761	ortholog_one2one	1
THOC3	ENSG00000051596	THOC3	ENSTGUP00000036559	ortholog_one2one	1
					
MYT1L	ENSG00000186487	MYT1L	ENSTGUP00000034381	ortholog_one2one	1
PPP3CA	ENSG00000138814	PPP3CA	ENSTGUP00000033901	ortholog_one2one	1
POLR1A	ENSG00000068654	POLR1A	ENSTGUP00000011086	ortholog_one2one	1
SNORD97	ENSG00000238622	SNORD97	ENSTGUT00000018589	ortholog_one2one	1
	ENSG00000130724	CHMP2A	ENSTGUP00000033968	ortholog_one2many	0
					
MT4	ENSG00000102891	MT4	ENSTGUP00000006721	ortholog_one2one	1
					
					
BMP2	ENSG00000125845	BMP2	ENSTGUP00000026747	ortholog_one2one	1
	ENSG00000104524	PYCR3	ENSTGUP00000013150	ortholog_one2many	1
KBTBD8	ENSG00000163376	KBTBD8	ENSTGUP00000009924	ortholog_one2one	1
					
					
USE1	ENSG00000053501	USE1	ENSTGUP00000019498	ortholog_one2one	1
RAP1A					
					
					
					
FAM219A	ENSG00000164970	FAM219A	ENSTGUP00000037396	ortholog_one2one	1
LSM5	ENSG00000106355	LSM5	ENSTGUP00000032329	ortholog_one2one	1
CECR2	ENSG00000099954	CECR2	ENSTGUP00000012885	ortholog_one2one	1
					
					
GSTM3	ENSG00000134202	GSTM3	ENSTGUP00000036006	ortholog_one2one	1
PSD	ENSG00000059915	PSD	ENSTGUP00000007820	ortholog_one2one	1
	ENSG00000139921	TMX1	ENSTGUP00000037184	ortholog_one2many	1
HAO1	ENSG00000101323	HAO1	ENSTGUP00000006600	ortholog_one2one	1
					
					
SIMC1	ENSG00000170085	SIMC1	ENSTGUP00000032698	ortholog_one2one	1
LMO2	ENSG00000135363	LMO2	ENSTGUP00000005789	ortholog_one2one	1
NLRX1	ENSG00000160703	NLRX1	ENSTGUP00000000376	ortholog_one2one	1
	ENSG00000101132	PFDN4	ENSTGUP00000008763	ortholog_one2one	0
CTR9	ENSG00000198730	CTR9	ENSTGUP00000008187	ortholog_one2one	1
SNORA73					
					
					
TCIRG1	ENSG00000110719	TCIRG1	ENSTGUP00000007648	ortholog_one2one	1
					
					
HHIP	ENSG00000164161	HHIP	ENSTGUP00000002801	ortholog_one2one	1
PLEKHG7	ENSG00000187510	PLEKHG7	ENSTGUP00000008456	ortholog_one2one	1
MFRP	ENSG00000235718	MFRP	ENSTGUP00000000396	ortholog_one2one	1
					
OPRD1	ENSG00000116329	OPRD1	ENSTGUP00000000959	ortholog_one2one	1
NAB1	ENSG00000138386	NAB1	ENSTGUP00000035064	ortholog_one2one	1
DUSP13B	ENSG00000079393	DUSP13B	ENSTGUP00000031115	ortholog_one2one	1
INSR	ENSG00000171105	INSR	ENSTGUP00000000449	ortholog_one2one	1
					
MAN2C1	ENSG00000140400	MAN2C1	ENSTGUP00000003937	ortholog_one2one	1
	ENSG00000087250	MT3	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000205358	MT1H	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000205362	MT1A	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000125148	MT2A	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000244020	MT1HL1	ENSTGUP00000006713	ortholog_one2many	0
	ENSG00000169688	MT1B	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000187193	MT1X	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000169715	MT1E	ENSTGUP00000006713	ortholog_one2many	0
	ENSG00000125144	MT1G	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000198417	MT1F	ENSTGUP00000006713	ortholog_one2many	1
	ENSG00000205364	MT1M	ENSTGUP00000006713	ortholog_one2many	1
LRIG1	ENSG00000144749	LRIG1	ENSTGUP00000009920	ortholog_one2one	1
PIGF	ENSG00000151665	PIGF	ENSTGUP00000023852	ortholog_one2one	1
	ENSG00000139921	TMX1	ENSTGUP00000020210	ortholog_one2many	1
	ENSG00000196924	FLNA	ENSTGUP00000019347	ortholog_one2one	0
APBA3	ENSG00000011132	APBA3	ENSTGUP00000000146	ortholog_one2one	1
					
CREB3L1	ENSG00000157613	CREB3L1	ENSTGUP00000011005	ortholog_one2one	1
	ENSG00000198642	KLHL9	ENSTGUP00000031683	ortholog_one2many	1
	ENSG00000003096	KLHL13	ENSTGUP00000031683	ortholog_one2many	1
PXDN	ENSG00000130508	PXDN	ENSTGUP00000031647	ortholog_one2one	1
					
TMX4	ENSG00000125827	TMX4	ENSTGUP00000028519	ortholog_one2one	1
CYP24A1	ENSG00000019186	CYP24A1	ENSTGUP00000008801	ortholog_one2one	1
HJV	ENSG00000168509	HJV	ENSTGUP00000014101	ortholog_one2one	1
					
FBXL15	ENSG00000107872	FBXL15	ENSTGUP00000025504	ortholog_one2one	1
	ENSG00000116459	ATP5PB	ENSTGUP00000001508	ortholog_one2many	1
					
	ENSG00000108813	DLX4	ENSTGUP00000029148	ortholog_many2many	1
CRIP2	ENSG00000182809	CRIP2	ENSTGUP00000023358	ortholog_one2one	1
					
TCEA3	ENSG00000204219	TCEA3	ENSTGUP00000021056	ortholog_one2one	1
					
KIAA1191	ENSG00000122203	KIAA1191	ENSTGUP00000019919	ortholog_one2one	1
DNAI1	ENSG00000122735	DNAI1	ENSTGUP00000001775	ortholog_one2one	1
C1QTNF5	ENSG00000223953	C1QTNF5	ENSTGUP00000000392	ortholog_one2one	1
					
ST3GAL5	ENSG00000115525	ST3GAL5	ENSTGUP00000035912	ortholog_one2one	1
EPB41L3	ENSG00000082397	EPB41L3	ENSTGUP00000021010	ortholog_one2one	1
BOLA1	ENSG00000178096	BOLA1	ENSTGUP00000020426	ortholog_one2one	1
					
					
					
	ENSG00000100505	TRIM9	ENSTGUP00000013533	ortholog_one2many	1
					
					
MRPL54	ENSG00000183617	MRPL54	ENSTGUP00000027315	ortholog_one2one	1
					
OGFR	ENSG00000060491	OGFR	ENSTGUP00000020126	ortholog_one2one	1
					
					
	ENSG00000134216	CHIA	ENSTGUP00000017736	ortholog_one2many	1
ADAMTSL5	ENSG00000185761	ADAMTSL5	ENSTGUP00000024727	ortholog_one2one	1
SAP30L	ENSG00000164576	SAP30L	ENSTGUP00000037803	ortholog_one2one	1
SV2A	ENSG00000159164	SV2A	ENSTGUP00000030949	ortholog_one2one	1
					
					
					
	ENSG00000116455	WDR77	ENSTGUP00000036965	ortholog_one2many	1
NEIL1	ENSG00000140398	NEIL1	ENSTGUP00000003944	ortholog_one2one	1
					
					
					
ATOH8	ENSG00000168874	ATOH8	ENSTGUP00000011022	ortholog_one2one	1
NOP16	ENSG00000048162	NOP16	ENSTGUP00000029418	ortholog_one2one	1
HAND1	ENSG00000113196	HAND1	ENSTGUP00000032093	ortholog_one2one	1
BCAS1	ENSG00000064787	BCAS1	ENSTGUP00000027901	ortholog_one2one	1
NEMP2	ENSG00000189362	NEMP2	ENSTGUP00000030179	ortholog_one2one	1
					
					
					
					
BTG2	ENSG00000159388	BTG2	ENSTGUP00000025857	ortholog_one2one	1
					
					
EEA1	ENSG00000102189	EEA1	ENSTGUP00000021644	ortholog_one2one	1
					
					
SF3B4	ENSG00000143368	SF3B4	ENSTGUP00000024969	ortholog_one2one	1
					
KLHL7	ENSG00000122550	KLHL7	ENSTGUP00000002832	ortholog_one2one	1
					
	ENSG00000078898	BPIFB2	ENSTGUP00000006539	ortholog_one2one	0
					
					
IRAG1	ENSG00000072952	IRAG1	ENSTGUP00000019369	ortholog_one2one	1
					
					
					
EPAS1	ENSG00000116016	EPAS1	ENSTGUP00000028669	ortholog_one2one	1
CRIP1	ENSG00000213145	CRIP1	ENSTGUP00000025391	ortholog_one2one	1
HIGD2A	ENSG00000175202	HIGD2B	ENSTGUP00000029653	ortholog_one2many	1
HIGD2A	ENSG00000146066	HIGD2A	ENSTGUP00000029653	ortholog_one2many	1
CAPRIN1	ENSG00000135387	CAPRIN1	ENSTGUP00000035993	ortholog_one2one	1
CCNH	ENSG00000134480	CCNH	ENSTGUP00000001201	ortholog_one2one	1
DCTN3	ENSG00000137100	DCTN3	ENSTGUP00000033416	ortholog_one2one	1
GHDC	ENSG00000167925	GHDC	ENSTGUP00000030141	ortholog_one2one	1
					
NUP93	ENSG00000102900	NUP93	ENSTGUP00000019926	ortholog_one2one	1
					
CUEDC2	ENSG00000107874	CUEDC2	ENSTGUP00000037625	ortholog_one2one	1
					
ANAPC10	ENSG00000164162	ANAPC10	ENSTGUP00000018920	ortholog_one2one	1
					
FMOD	ENSG00000122176	FMOD	ENSTGUP00000017737	ortholog_one2one	1
ARHGEF18	ENSG00000104880	ARHGEF18	ENSTGUP00000000432	ortholog_one2one	1
LARP1	ENSG00000155506	LARP1	ENSTGUP00000000720	ortholog_one2one	1
					
MTMR11	ENSG00000014914	MTMR11	ENSTGUP00000030841	ortholog_one2one	1
KAT7	ENSG00000136504	KAT7	ENSTGUP00000001933	ortholog_one2one	1
					
COMMD4	ENSG00000140365	COMMD4	ENSTGUP00000003954	ortholog_one2one	1
					
PLCB1	ENSG00000182621	PLCB1	ENSTGUP00000022353	ortholog_one2one	1
FGFRL1	ENSG00000127418	FGFRL1	ENSTGUP00000011021	ortholog_one2one	1
RASA1	ENSG00000145715	RASA1	ENSTGUP00000001217	ortholog_one2one	1
					
					
MRGBP	ENSG00000101189	MRGBP	ENSTGUP00000007911	ortholog_one2one	1
					
	ENSG00000185988	PLK5	ENSTGUP00000025528	ortholog_one2one	0
EMCN	ENSG00000164035	EMCN	ENSTGUP00000019534	ortholog_one2one	1
					
					
ZBTB14	ENSG00000198081	ZBTB14	ENSTGUP00000029731	ortholog_one2one	1
PHF21A	ENSG00000135365	PHF21A	ENSTGUP00000035894	ortholog_one2one	1
RAX2					
CLTB	ENSG00000175416	CLTB	ENSTGUP00000026120	ortholog_one2one	1
TEDC1	ENSG00000185347	TEDC1	ENSTGUP00000030156	ortholog_one2one	1
PRELP	ENSG00000188783	PRELP	ENSTGUP00000029274	ortholog_one2one	1
					
CAPSL	ENSG00000152611	CAPSL	ENSTGUP00000037880	ortholog_one2one	1
MFSD6	ENSG00000151690	MFSD6	ENSTGUP00000011184	ortholog_one2one	1
NUP42	ENSG00000136243	NUP42	ENSTGUP00000002839	ortholog_one2one	1
ABCE1	ENSG00000164163	ABCE1	ENSTGUP00000002783	ortholog_one2one	1
AKAIN1	ENSG00000231824	AKAIN1	ENSTGUP00000021361	ortholog_one2one	1
RAD50	ENSG00000113522	RAD50	ENSTGUP00000038534	ortholog_one2one	1
ADA2	ENSG00000093072	ADA2	ENSTGUP00000012889	ortholog_one2one	1
	ENSG00000100504	PYGL	ENSTGUP00000036025	ortholog_one2many	1
	ENSG00000186190	BPIFB3	ENSTGUP00000032937	ortholog_one2one	0
					
SARS1	ENSG00000031698	SARS1	ENSTGUP00000001486	ortholog_one2one	1
FAXDC2	ENSG00000170271	FAXDC2	ENSTGUP00000000692	ortholog_one2one	1
					
OPTC	ENSG00000188770	OPTC	ENSTGUP00000029834	ortholog_one2one	1
C15orf39	ENSG00000167173	C15orf39	ENSTGUP00000030533	ortholog_one2one	1
RSU1	ENSG00000148484	RSU1	ENSTGUP00000025777	ortholog_one2one	1
					
NTSR1	ENSG00000101188	NTSR1	ENSTGUP00000019365	ortholog_one2one	1
RGMB	ENSG00000174136	RGMB	ENSTGUP00000001219	ortholog_one2one	1
					
LLGL2	ENSG00000073350	LLGL2	ENSTGUP00000008798	ortholog_one2one	1
E2F2	ENSG00000007968	E2F2	ENSTGUP00000000930	ortholog_one2one	1
	ENSG00000033800	PIAS1	ENSTGUP00000027468	ortholog_one2many	1
					
					
LYVE1	ENSG00000133800	LYVE1	ENSTGUP00000008224	ortholog_one2one	1
FAF2	ENSG00000113194	FAF2	ENSTGUP00000000544	ortholog_one2one	1
					
					
					
IL7R	ENSG00000168685	IL7R	ENSTGUP00000002060	ortholog_one2one	1
SLC35B1	ENSG00000121073	SLC35B1	ENSTGUP00000001926	ortholog_one2one	1
GPNMB	ENSG00000136235	GPNMB	ENSTGUP00000002846	ortholog_one2one	1
					
RNF212	ENSG00000178222	RNF212	ENSTGUP00000011016	ortholog_one2one	1
					
DLGAP1	ENSG00000170579	DLGAP1	ENSTGUP00000025633	ortholog_one2one	1
PYGO1	ENSG00000171016	PYGO1	ENSTGUP00000023510	ortholog_one2one	1
					
ZNF217	ENSG00000171940	ZNF217	ENSTGUP00000027810	ortholog_one2one	1
					
					
SIGMAR1	ENSG00000147955	SIGMAR1	ENSTGUP00000022326	ortholog_one2one	1
					
SLCO4A1	ENSG00000101187	SLCO4A1	ENSTGUP00000007943	ortholog_one2one	1
ID3	ENSG00000117318	ID3	ENSTGUP00000000927	ortholog_one2one	1
TPO	ENSG00000115705	TPO	ENSTGUP00000013346	ortholog_one2one	1
PAX2	ENSG00000075891	PAX2	ENSTGUP00000007853	ortholog_one2one	1
RNF141	ENSG00000110315	RNF141	ENSTGUP00000018454	ortholog_one2one	1
HDHD5	ENSG00000069998	HDHD5	ENSTGUP00000038556	ortholog_one2one	1
					
					
PEX11G	ENSG00000104883	PEX11G	ENSTGUP00000034834	ortholog_one2one	1
DNAAF4	ENSG00000256061	DNAAF4	ENSTGUP00000006664	ortholog_one2one	1
					
					
					
OTUD4	ENSG00000164164	OTUD4	ENSTGUP00000021426	ortholog_one2one	1
THOP1	ENSG00000172009	THOP1	ENSTGUP00000037048	ortholog_one2one	1
MATK	ENSG00000007264	MATK	ENSTGUP00000000136	ortholog_one2one	1
